id,date,patient_cpf,doctor_crm,doctor_uf,medication,controlled,dosage,frequency,duration,notes
RX0001,2024-12-20,50820680269,385643,CE,Omeprazol,FALSE,250mg,Se necessário,90,Tomar após as refeições.
RX0002,2025-01-28,35191216164,615920,AC,Cimegripe,FALSE,,12/12h,60,Tomar após as refeições.
RX0003,2021-05-15,35393187829,761595,AL,Paracetamol,FALSE,20mg,6/6h,84,Tomar após as refeições.
RX0004,2025-09-13 01:00,41034357588,722187,DF,Amoxicilina,FALSE,10ml,8/8h,90,Tomar após as refeições.
RX0005,2023-10-17,49880707659,419303,SC,Omeprazol,FALSE,1g,12/12h,24,Tomar após as refeições.
id,date,patient_cpf,doctor_crm,doctor_uf,medication,controlled,dosage,frequency,duration,notes
RX001,1900-01-01,12345678901,1,A,M,0,1mg,1/1h,999999,N
RX002,2050-12-31,98765432109,9999999,ABCDEFGHIJK,MedicamentoComNomeMuitoLongoQueDeveriaTerUmLi
RX0012,2021-09-29,74506897768,838812,RS,Morfina,TRUE,1g,Se necessário,20,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0013,2021-08-30,62939832164,257443,AM,Omeprazol,FALSE,5ml,8/8h,81,Tomar após as refeições.
RX0014,2023-04-11,17846500737,762876,RR,Metadona,TRUE,500mg,8/8h,54,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0015,2020-08-12,4195823650,969977,DF,Neosaldina,FALSE,750mg,Se necessário,48,Tomar após as refeições.
RX0016,2022-10-24,4606796482,437496,RN,Omeprazol,FALSE,20mg,Se necessário,28,Tomar após as refeições.
RX0017,,74711420655,922090,DF,Zolpidem,TRUE,10mg,6/6h,25,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0018,2021-05-27,23577755680,659296,PE,Oxicodona,TRUE,20mg,8/8h,19,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0019,2022-04-14,22341315725,451154,AC,Azitromicina,FALSE,500mg,12/12h,88,Tomar após as refeições.
RX0020,2023-01-10,63883834235,176146,ES,Ritalina,TRUE,500mg,Se necessário,36,Tomar 1 comprimido conforme orientação. Não exceder a dose.
RX0021,2024-01-30,72558352660,327332,TO,Morfina,TRUE,500mg,8/8h,32,Tomar 1 comprimido conforme orientação. Não exceder a dose.
id,date,patient_cpf,doctor_crm,doctor_uf,medication,controlled,dosage,frequency,duration,notes
RX001,1900-01-01,12345678901,1,A,M,0,1mg,1/1h,999999,N
RX002,2050-12-31,98765432109,9999999,ABCDEFGHIJK,MedicamentoComNomeMuitoLongoQueDeveriaTerUmLimido conforme orientação. Não exceder a dose.
